fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,texto_matricula
201,person,0.7217319011688232,3,424,268,480,432,N/A,N/A
201,car,0.560630738735199,4,1429,323,1510,380,N/A,N/A
201,car,0.5821861028671265,5,1362,323,1397,356,N/A,N/A
201,car,0.553766667842865,6,1344,323,1381,352,N/A,N/A
202,person,0.7414030432701111,3,428,263,484,431,N/A,N/A
202,car,0.5669155120849609,4,1428,323,1510,380,N/A,N/A
202,car,0.586374819278717,5,1363,323,1397,356,N/A,N/A
202,car,0.5726448893547058,6,1344,323,1381,352,N/A,N/A
203,person,0.7255526781082153,3,431,258,486,430,N/A,N/A
203,car,0.5733948349952698,4,1428,323,1511,380,N/A,N/A
203,car,0.6070500612258911,5,1363,323,1398,356,N/A,N/A
203,car,0.5790563821792603,6,1344,323,1380,352,N/A,N/A
204,car,0.575319766998291,4,1428,323,1511,380,N/A,N/A
204,car,0.592197597026825,5,1362,323,1397,356,N/A,N/A
204,car,0.5801894068717957,6,1344,323,1380,352,N/A,N/A
205,person,0.7545859217643738,3,436,262,488,429,N/A,N/A
205,car,0.5754652619361877,4,1428,323,1510,380,N/A,N/A
205,car,0.6135803461074829,5,1362,323,1397,356,N/A,N/A
205,car,0.5881122946739197,6,1344,323,1380,352,N/A,N/A
206,person,0.7658741474151611,3,437,262,491,430,N/A,N/A
206,car,0.5726678371429443,4,1428,323,1509,380,N/A,N/A
206,car,0.6075499653816223,5,1361,323,1397,356,N/A,N/A
206,car,0.5387800335884094,6,1345,323,1380,352,N/A,N/A
207,person,0.7522006630897522,3,439,267,493,430,N/A,N/A
207,car,0.594874382019043,4,1428,323,1509,380,N/A,N/A
207,car,0.6433147192001343,5,1362,322,1398,357,N/A,N/A
207,car,0.520132839679718,6,1346,323,1378,352,N/A,N/A
208,person,0.7055993676185608,3,443,273,495,432,N/A,N/A
208,car,0.5866448283195496,4,1428,323,1509,380,N/A,N/A
208,car,0.6444335579872131,5,1362,322,1398,357,N/A,N/A
208,car,0.5399339199066162,6,1347,323,1379,352,N/A,N/A
209,person,0.6277393102645874,3,444,275,498,432,N/A,N/A
209,car,0.5833033919334412,4,1428,323,1509,380,N/A,N/A
209,car,0.6556496620178223,5,1361,322,1398,357,N/A,N/A
209,car,0.5520133376121521,6,1347,323,1380,352,N/A,N/A
210,person,0.6522729992866516,3,446,275,501,432,N/A,N/A
210,car,0.5793055295944214,4,1428,323,1508,380,N/A,N/A
210,car,0.6479326486587524,5,1360,322,1398,357,N/A,N/A
210,car,0.5627930164337158,6,1348,323,1381,352,N/A,N/A
211,person,0.705014705657959,3,449,276,502,431,N/A,N/A
211,car,0.5636570453643799,4,1429,323,1507,380,N/A,N/A
211,car,0.6511662602424622,5,1361,322,1398,357,N/A,N/A
211,car,0.5658634901046753,6,1348,323,1379,352,N/A,N/A
212,person,0.5910472869873047,3,453,276,506,429,N/A,N/A
212,car,0.5729740262031555,4,1429,323,1507,380,N/A,N/A
212,car,0.6278641223907471,5,1361,322,1398,357,N/A,N/A
212,car,0.5646353363990784,6,1347,323,1379,352,N/A,N/A
213,person,0.6209946870803833,3,456,264,511,429,N/A,N/A
213,car,0.5778520703315735,4,1428,323,1508,380,N/A,N/A
213,car,0.6282952427864075,5,1362,322,1398,357,N/A,N/A
213,car,0.5696939826011658,6,1346,323,1377,351,N/A,N/A
214,person,0.6983718276023865,3,459,262,514,427,N/A,N/A
214,car,0.5684826374053955,4,1428,323,1508,380,N/A,N/A
214,car,0.631166398525238,5,1364,322,1398,357,N/A,N/A
214,car,0.5703660845756531,6,1346,323,1376,351,N/A,N/A
215,person,0.73548823595047,3,461,263,517,426,N/A,N/A
215,car,0.5743419528007507,4,1429,323,1508,380,N/A,N/A
215,car,0.6360123753547668,5,1364,322,1398,357,N/A,N/A
215,car,0.5595954060554504,6,1347,323,1378,351,N/A,N/A
216,person,0.6920051574707031,3,463,263,520,426,N/A,N/A
216,car,0.5784370303153992,4,1428,323,1508,381,N/A,N/A
216,car,0.6254492402076721,5,1363,322,1398,357,N/A,N/A
216,car,0.5522186756134033,6,1346,322,1379,351,N/A,N/A
217,person,0.6007934808731079,3,468,263,523,427,N/A,N/A
217,car,0.5689392685890198,4,1428,323,1510,380,N/A,N/A
217,car,0.6089407801628113,5,1365,322,1397,357,matrícula,N/A
217,car,0.6089407801628113,5,1365,322,1397,357,N/A,N/A
217,car,0.5887270569801331,6,1345,322,1381,352,N/A,N/A
218,car,0.5798460841178894,4,1428,323,1510,381,N/A,N/A
218,car,0.6063680648803711,5,1365,322,1397,357,matrícula,N/A
218,car,0.6063680648803711,5,1365,322,1397,357,N/A,N/A
218,car,0.5984678864479065,6,1345,322,1382,352,N/A,N/A
219,person,0.6510172486305237,3,474,268,528,423,N/A,N/A
219,car,0.5807340145111084,4,1428,323,1511,381,N/A,N/A
219,car,0.6112789511680603,5,1365,322,1397,357,matrícula,N/A
219,car,0.6112789511680603,5,1365,322,1397,357,N/A,N/A
219,car,0.5954012870788574,6,1345,322,1383,352,N/A,N/A
220,person,0.5924315452575684,3,475,272,531,422,N/A,N/A
220,car,0.5727068781852722,4,1428,323,1510,381,N/A,N/A
220,car,0.6154287457466125,5,1366,322,1397,357,matrícula,N/A
220,car,0.6154287457466125,5,1366,322,1397,357,N/A,N/A
220,car,0.5839437246322632,6,1344,322,1383,352,N/A,N/A
221,person,0.611226499080658,3,478,274,535,423,N/A,N/A
221,car,0.584326982498169,4,1429,323,1510,381,N/A,N/A
221,car,0.621522843837738,5,1365,322,1397,357,N/A,N/A
221,car,0.6147425174713135,6,1344,321,1383,352,N/A,N/A
222,person,0.7140398025512695,3,477,275,540,423,N/A,N/A
222,car,0.5890024304389954,4,1429,323,1509,381,N/A,N/A
222,car,0.6198785305023193,5,1365,322,1398,357,N/A,N/A
222,car,0.6139888763427734,6,1344,321,1383,352,N/A,N/A
223,person,0.6808838248252869,3,478,274,542,423,N/A,N/A
223,car,0.6047644019126892,4,1429,323,1509,381,N/A,N/A
223,car,0.6222025752067566,5,1367,322,1398,357,N/A,N/A
223,car,0.5945488810539246,6,1343,321,1381,352,N/A,N/A
224,person,0.6701022386550903,3,481,269,542,422,N/A,N/A
224,car,0.6097040176391602,4,1429,323,1509,381,N/A,N/A
224,car,0.6132288575172424,5,1367,322,1398,357,N/A,N/A
224,car,0.5894154906272888,6,1344,321,1381,352,N/A,N/A
225,person,0.6299525499343872,3,482,267,544,421,N/A,N/A
225,car,0.6136679649353027,4,1429,323,1509,381,N/A,N/A
225,car,0.6027001142501831,5,1368,322,1398,357,N/A,N/A
225,car,0.5958985686302185,6,1343,321,1380,352,N/A,N/A
226,person,0.6606863737106323,3,487,269,545,423,N/A,N/A
226,car,0.6164948344230652,4,1429,323,1509,380,N/A,N/A
226,car,0.6049786806106567,5,1367,322,1398,357,N/A,N/A
226,car,0.5901871919631958,6,1343,321,1380,352,N/A,N/A
227,person,0.6553672552108765,3,494,269,545,421,N/A,N/A
227,car,0.6168912649154663,4,1429,323,1510,381,N/A,N/A
227,car,0.5938031673431396,5,1368,322,1398,357,N/A,N/A
227,car,0.5886209607124329,6,1343,322,1380,352,N/A,N/A
228,person,0.6358641982078552,3,498,269,547,421,N/A,N/A
228,car,0.6085360050201416,4,1429,323,1509,381,N/A,N/A
228,car,0.5906650424003601,5,1368,322,1398,357,N/A,N/A
228,car,0.5894578099250793,6,1343,322,1379,352,N/A,N/A
229,person,0.7113114595413208,3,501,270,549,421,N/A,N/A
229,car,0.6019161343574524,4,1429,323,1509,380,N/A,N/A
